ZIPCODE,mean_scores
10003.0,22.4917491749
10019.0,21.4336348081
10036.0,22.4232513518
10013.0,23.8940681679
10002.0,24.2771071908
10022.0,21.9878905057
10011.0,21.3604105252
10016.0,22.781260167
10014.0,21.5263704559
10001.0,20.8615580507
10012.0,21.1203053065
11354.0,26.4620100986
11372.0,24.170565046
10017.0,22.4251012146
11220.0,25.8632254684
11215.0,21.4158576052
10018.0,22.9769000428
10009.0,21.9977889151
11211.0,21.0997010463
11201.0,21.9060928719
11368.0,23.5405048672
11373.0,24.4660326087
11101.0,21.8560848679
10025.0,23.3352929649
11385.0,21.9963731614
11209.0,20.6437968023
10010.0,22.6727493917
11217.0,20.6025974026
11355.0,24.814897413
11377.0,22.0608775557
11238.0,21.7719215316
10028.0,21.3484173505
10024.0,22.2819855512
11226.0,24.3397783542
11103.0,21.5598387503
11375.0,20.7787107928
10023.0,21.9177377892
10029.0,23.6204803378
10458.0,22.0139298152
11432.0,22.3726527374
11222.0,22.3371380846
11214.0,23.7396121884
10065.0,20.4013248689
11223.0,21.9287362954
10128.0,23.1859576968
11235.0,23.2543405422
11216.0,23.2360734718
10021.0,22.6584788399
11106.0,22.3989361702
11237.0,21.2873527588
11218.0,23.8080650203
10314.0,21.104534005
10467.0,21.0259781911
11205.0,21.7021416804
10038.0,21.8982055465
10462.0,21.0212550607
10027.0,22.7780054645
11249.0,20.428416877
11231.0,21.3529411765
11229.0,22.2862104898
10461.0,21.0275962237
11358.0,21.9628293035
11203.0,21.7134232955
10451.0,22.3926423771
11208.0,22.8687332568
10007.0,21.5591104175
11207.0,20.4710547185
11105.0,21.6878243513
11204.0,22.4070272404
11234.0,18.9458917836
10033.0,22.1134693878
10463.0,21.2428282828
11104.0,22.7142857143
11435.0,21.6043194784
11206.0,21.6171335769
10004.0,20.437789962
11230.0,24.021691974
10032.0,23.7310996564
11219.0,22.1285520974
10452.0,21.6663611366
10468.0,22.1040703053
11419.0,24.1464552239
10034.0,22.3201174743
11361.0,19.9583532791
11232.0,22.1309811503
10472.0,20.6589884827
10453.0,22.2526421741
11225.0,21.1746660069
10456.0,22.3313192346
11236.0,22.3832153691
10075.0,21.9893670886
10455.0,22.7530800821
10031.0,22.5521215296
11374.0,21.0591836735
10466.0,21.6195995785
11221.0,22.5101369863
11213.0,22.9597207304
10306.0,19.0155124654
10469.0,21.5815642458
11430.0,19.5858475041
11212.0,20.9010067114
11434.0,22.2130959219
10301.0,20.5812837433
11420.0,22.5817865429
11102.0,22.1050469484
11378.0,21.010428737
11369.0,20.591995221
11418.0,22.668074834
10454.0,21.2083333333
10459.0,20.7814070352
10305.0,21.0340179718
11210.0,21.6905829596
11421.0,21.3721552878
10465.0,21.1995884774
10457.0,20.8732106339
10026.0,24.3237410072
10035.0,21.2397163121
11417.0,21.1139817629
10309.0,20.8166397415
11357.0,19.5083267248
10312.0,20.6315789474
11691.0,24.753635586
10005.0,21.377374071
10040.0,22.2570452605
10302.0,20.1210526316
10304.0,22.1540540541
10006.0,22.2556325823
11428.0,25.256768559
11364.0,21.2735590119
11414.0,22.31826742
11362.0,25.3362235067
10310.0,22.1732817038
10460.0,19.9089108911
11233.0,21.5731462926
11379.0,19.6969387755
11228.0,19.9835051546
11224.0,18.9315068493
10308.0,22.1940298507
11366.0,21.8617131063
11416.0,23.2949117342
11365.0,20.2245989305
11367.0,21.6720604099
10470.0,21.5248618785
11356.0,20.3348264278
11694.0,22.8719153937
11422.0,22.7549019608
10303.0,23.3095541401
10473.0,25.9761006289
10464.0,22.8503401361
11415.0,22.1487935657
11423.0,22.8488210818
10475.0,21.556462585
11412.0,20.7955801105
10471.0,19.6744186047
10474.0,20.0183098592
10020.0,17.607703281
10037.0,22.0243161094
11413.0,22.7261538462
11370.0,24.057096248
11004.0,22.7577741408
10030.0,21.376910017
11426.0,20.6537815126
11433.0,18.1042016807
11436.0,23.350174216
11411.0,25.9773584906
11360.0,20.2263056093
11429.0,19.9266409266
10039.0,19.2613636364
11693.0,23.7818574514
10307.0,18.150990099
10119.0,22.2807017544
11427.0,20.6495956873
11040.0,23.27696793
11363.0,21.5492063492
11371.0,21.3214285714
10280.0,24.0673076923
10112.0,15.2684210526
10282.0,18.094972067
11239.0,23.0178571429
10281.0,21.3057324841
11692.0,19.3969465649
10044.0,19.1603053435
10103.0,23.362745098
10121.0,16.16
